fecha,estacion,temperatura,precipitacion,vel_Viento,presion_barometrica,dir_viento,humedad_rel,mes,año,nombre_estacion,dir_cardinal,estacion_año,monoxido_nitrogeno
19/08/2019,24,26.6,0.0,1.89,942.0,186.0,37.0,8,2019,Casa de campo,Sur,Verano,2.0
19/09/2019,24,22.1,0.0,1.22,943.0,116.0,55.0,9,2019,Casa de campo,Este,Otoño,5.0
19/10/2019,24,13.8,9.1,2.47,936.0,205.0,75.0,10,2019,Casa de campo,Sur,Otoño,1.0
19/11/2019,24,-20.4,0.4,0.19,949.0,90.0,38.0,11,2019,Casa de campo,Noreste,Otoño,27.0
19/12/2019,24,10.0,16.1,3.37,934.0,175.0,95.0,12,2019,Casa de campo,Sureste,Invierno,2.0
20/01/2019,24,5.6,1.4,1.13,940.0,358.0,78.0,1,2019,Casa de campo,Norte,Invierno,1.0
20/02/2019,24,7.5,0.0,0.87,950.0,106.0,71.0,2,2019,Casa de campo,Este,Invierno,13.0
20/03/2019,24,9.3,0.0,2.13,954.0,62.0,42.0,3,2019,Casa de campo,Noreste,Primavera,1.0
20/04/2019,24,13.6,0.0,2.86,944.0,67.0,60.0,4,2019,Casa de campo,Noreste,Primavera,1.0
20/05/2019,24,15.7,0.0,1.29,940.0,331.0,40.0,5,2019,Casa de campo,Norte,Primavera,2.0
